fecha,co,no2,pm10
2011-07-19,0.5924999999999999,19.083333333333332,17.095238095238095
2011-07-20,0.6774999999999999,26.0,16.75
2011-07-21,0.8179166666666666,29.818181818181817,27.666666666666668
2011-07-22,0.9704166666666666,32.625,32.541666666666664
2011-07-23,0.7987500000000001,25.208333333333332,27.375
2011-07-24,0.8166666666666668,21.833333333333332,20.291666666666668
2011-07-25,0.7179166666666666,18.416666666666668,21.291666666666668
2011-07-26,0.7424999999999998,24.958333333333332,108.0
2011-07-27,1.1986666666666665,27.555555555555557,352.7916666666667
2011-07-28,0.7716666666666665,27.875,86.33333333333333
2011-07-29,0.7108333333333333,22.80952380952381,93.58333333333333
2011-07-30,0.6124999999999999,19.666666666666668,55.375
2011-07-31,0.7025000000000001,23.25,24.458333333333332
2011-08-01,1.0950000000000002,35.65217391304348,36.375
2011-08-02,0.9400000000000001,27.347826086956523,40.75
2011-08-03,0.7458333333333335,19.375,50.875
2011-08-04,0.9283333333333332,25.304347826086957,25.833333333333332
2011-08-05,0.8388235294117647,29.789473684210527,28.625
2011-08-06,1.1666666666666667,38.875,56.5
2011-08-07,0.5816666666666667,24.916666666666668,39.375
2011-08-08,0.48750000000000004,28.5,50.75
2011-08-09,0.7016666666666667,28.0,83.91666666666667
2011-08-10,0.7541666666666668,23.09090909090909,30.0
2011-08-11,1.0205555555555554,27.761904761904763,25.75
2011-08-12,1.3970833333333335,30.347826086956523,50.75
2011-08-13,0.5579166666666667,24.958333333333332,30.875
2011-08-14,0.6566666666666667,22.791666666666668,54.625
2011-08-15,0.6045,21.35,30.75
2011-08-16,0.8391666666666667,21.90909090909091,29.5
2011-08-17,0.7079166666666667,21.833333333333332,21.041666666666668
2011-08-18,0.6922222222222223,20.952380952380953,21.458333333333332
2011-08-19,0.5704166666666667,17.875,20.875
2011-08-20,0.6124999999999999,19.25,18.791666666666668
2011-08-21,0.6115789473684211,20.58823529411765,24.608695652173914
2011-08-22,,,
2011-08-23,0.6055555555555556,21.714285714285715,
2011-08-24,0.63125,20.291666666666668,16.61904761904762
2011-08-25,1.0716666666666668,26.85,43.708333333333336
2011-08-26,0.5629166666666667,24.045454545454547,29.291666666666668
2011-08-27,0.53,15.153846153846153,26.789473684210527
2011-08-28,,,
2011-08-29,0.7962499999999999,34.46153846153846,
2011-08-30,0.7195833333333335,26.454545454545453,47.05555555555556
2011-08-31,0.4959999999999999,19.666666666666668,70.11111111111111
2011-09-01,,,86.42857142857143
2011-09-02,,,24.291666666666668
2011-09-03,,,24.041666666666668
2011-09-04,,,36.375
2011-09-05,,,40.75
2011-09-06,,,51.5
2011-09-07,,,41.708333333333336
2011-09-08,,,38.916666666666664
2011-09-09,1.04375,36.15384615384615,50.625
2011-09-10,0.8104166666666668,19.75,51.416666666666664
2011-09-11,0.7783333333333333,23.666666666666668,54.0
2011-09-12,0.7233333333333333,21.3,45.708333333333336
2011-09-13,0.5679166666666667,23.25,67.16666666666667
2011-09-14,0.5620833333333332,20.083333333333332,31.75
2011-09-15,0.7025,20.458333333333332,29.791666666666668
2011-09-16,1.1116666666666666,26.541666666666668,46.125
2011-09-17,1.0366666666666668,18.5,67.66666666666667
2011-09-18,0.61125,15.291666666666666,38.916666666666664
2011-09-19,0.7870833333333335,34.75,26.25
2011-09-20,0.8116666666666666,40.61904761904762,35.708333333333336
2011-09-21,0.8143749999999998,35.35294117647059,40.125
2011-09-22,0.5579166666666665,19.863636363636363,50.583333333333336
2011-09-23,0.4475,22.166666666666668,35.791666666666664
2011-09-24,0.4849999999999999,18.5,26.291666666666668
2011-09-25,0.5033333333333333,16.375,17.833333333333332
2011-09-26,0.7320833333333333,28.291666666666668,32.375
2011-09-27,0.44933333333333336,20.157894736842106,86.45833333333333
2011-09-28,0.6713333333333333,23.72222222222222,56.125
2011-09-29,0.9316666666666666,32.72727272727273,52.208333333333336
2011-09-30,0.8004166666666669,29.61904761904762,62.791666666666664
2011-10-01,0.47111111111111115,11.666666666666666,43.958333333333336
2011-10-02,,,41.041666666666664
2011-10-03,0.5033333333333333,19.285714285714285,41.125
2011-10-04,0.5587500000000002,19.166666666666668,22.541666666666668
2011-10-05,0.6416666666666665,31.545454545454547,35.458333333333336
2011-10-06,0.6220833333333334,25.217391304347824,28.541666666666668
2011-10-07,0.6483333333333334,22.0,21.791666666666668
2011-10-08,0.71375,22.041666666666668,22.541666666666668
2011-10-09,0.5862500000000003,13.833333333333334,22.416666666666668
2011-10-10,0.5808333333333334,14.909090909090908,14.333333333333334
2011-10-11,0.7379166666666667,19.291666666666668,27.708333333333332
2011-10-12,0.5924999999999999,18.904761904761905,15.833333333333334
2011-10-13,0.7245833333333332,23.875,21.75
2011-10-14,0.5958333333333334,18.347826086956523,22.041666666666668
2011-10-15,0.6979166666666665,25.041666666666668,26.0
2011-10-16,0.7394736842105264,20.3,116.95833333333333
2011-10-17,0.4709090909090909,17.791666666666668,119.83333333333333
2011-10-18,0.5416666666666666,19.681818181818183,25.041666666666668
2011-10-19,0.8395833333333335,27.636363636363637,42.708333333333336
2011-10-20,0.59375,21.2,36.416666666666664
2011-10-21,0.524,19.142857142857142,35.458333333333336
2011-10-22,0.7824999999999996,21.333333333333332,43.333333333333336
2011-10-23,0.4975,19.125,34.25
2011-10-24,0.64625,22.82608695652174,31.333333333333332
2011-10-25,0.56,22.045454545454547,20.708333333333332
2011-10-26,0.4445454545454546,20.6,28.041666666666668
2011-10-27,0.4308333333333334,17.416666666666668,37.125
2011-10-28,0.7645833333333335,30.666666666666668,59.291666666666664
2011-10-29,0.5233333333333333,24.25,46.208333333333336
2011-10-30,0.39625000000000005,19.40909090909091,40.041666666666664
2011-10-31,0.3958333333333334,20.75,17.916666666666668
2011-11-01,0.45041666666666674,20.416666666666668,20.291666666666668
2011-11-02,0.4624999999999999,20.27777777777778,24.708333333333332
2011-11-03,0.5508333333333333,19.0,26.708333333333332
2011-11-04,0.7241176470588235,23.15,22.375
2011-11-05,0.8433333333333334,27.5,23.416666666666668
2011-11-06,0.7354166666666666,25.125,19.958333333333332
2011-11-07,0.7016666666666667,22.434782608695652,21.541666666666668
2011-11-08,0.875,23.625,28.333333333333332
2011-11-09,0.7816666666666667,23.36842105263158,36.041666666666664
